slot,auth_user_id,player_id,email,display_name,tenant_id,gender,experience_band,expected_skill_band,coach_estimate,coach_confidence,coach_reviewer,coach_reviewed_at,coach_review_status,court_test_status,account_status,enrollment_status,notes
W1-01,c53681eb-2cec-4971-93c0-31eace84a36c,c53681eb-2cec-4971-93c0-31eace84a36c,qa42l.nomember@staging.local,qa42l.nomember,platform,,new,1.5-2.5,,,,,PENDING_COACH_REVIEW,PENDING,READY,none,Intentional nomember slot — owner fills gender/coach fields
W1-02,48a85745-900b-4703-80f7-d1dd8a82b081,player-staging-b-1,club@staging.local,club,venue-staging-a,Nam,experienced,3.0-3.5,,,,,PENDING_COACH_REVIEW,PENDING,READY,none,Owner fills coach estimate independently
W1-03,b5f1fdf9-ca63-4c7c-90b5-52e7199e3555,b5f1fdf9-ca63-4c7c-90b5-52e7199e3555,rating.wave1.01@staging.local,Wave1 Player 01,venue-staging-a,Nam,new,1.5-2.5,,,,,PENDING_COACH_REVIEW,PENDING,READY,none,Owner fills coach estimate independently
W1-04,33a44ed9-f8e0-4028-83e4-aa6867950fbc,33a44ed9-f8e0-4028-83e4-aa6867950fbc,rating.wave1.02@staging.local,Wave1 Player 02,platform,Nữ,new,1.5-2.5,,,,,PENDING_COACH_REVIEW,PENDING,READY,none,Owner fills coach estimate independently
W1-05,fa9fb320-b635-462c-875c-b16df0c3de00,fa9fb320-b635-462c-875c-b16df0c3de00,rating.wave1.03@staging.local,Wave1 Player 03,venue-staging-a,Nam,casual,1.5-2.5,,,,,PENDING_COACH_REVIEW,PENDING,READY,none,Owner fills coach estimate independently
W1-06,73749b6a-58aa-4a06-b0d5-cecdd8002e41,73749b6a-58aa-4a06-b0d5-cecdd8002e41,rating.wave1.04@staging.local,Wave1 Player 04,platform,Nữ,experienced,3.0-3.5,,,,,PENDING_COACH_REVIEW,PENDING,READY,none,Owner fills coach estimate independently
W1-07,be3339d0-02c0-4795-8171-1cc9da222e60,be3339d0-02c0-4795-8171-1cc9da222e60,rating.wave1.05@staging.local,Wave1 Player 05,venue-staging-a,Nam,experienced,3.0-3.5,,,,,PENDING_COACH_REVIEW,PENDING,READY,none,Owner fills coach estimate independently
W1-08,cdf69ef5-40fd-42f4-bcac-165e2f144156,cdf69ef5-40fd-42f4-bcac-165e2f144156,rating.wave1.06@staging.local,Wave1 Player 06,platform,,experienced,3.0-3.5,,,,,PENDING_COACH_REVIEW,PENDING,READY,none,Owner fills gender and coach estimate
W1-09,06bf7e4f-5430-4569-a9a3-80e32044d984,06bf7e4f-5430-4569-a9a3-80e32044d984,rating.wave1.07@staging.local,Wave1 Player 07,venue-staging-a,Nữ,experienced,3.0-3.5,,,,,PENDING_COACH_REVIEW,PENDING,READY,none,Owner fills coach estimate independently
W1-10,66dbde7b-eaff-4348-aadd-e53a336ddc66,66dbde7b-eaff-4348-aadd-e53a336ddc66,rating.wave1.08@staging.local,Wave1 Player 08,platform,Nam,experienced,4.0-4.5,,,,,PENDING_COACH_REVIEW,PENDING,READY,none,Owner fills coach estimate independently
W1-11,9bfeb586-387c-4abd-83e1-47e49b0e4d89,9bfeb586-387c-4abd-83e1-47e49b0e4d89,rating.wave1.09@staging.local,Wave1 Player 09,venue-staging-a,Nữ,experienced,4.0-4.5,,,,,PENDING_COACH_REVIEW,PENDING,READY,none,Owner fills coach estimate independently
W1-12,eb08397a-3a24-4045-a4f1-8a16a995f10d,eb08397a-3a24-4045-a4f1-8a16a995f10d,rating.wave1.10@staging.local,Wave1 Player 10,platform,Nam,experienced,4.0-4.5,,,,,PENDING_COACH_REVIEW,PENDING,READY,none,Owner fills coach estimate independently
